epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,254.385,1.17016,3.54347,1.47666,0.20817,0.43972,0.2608,0.14238,1.46043,8.98777,1.83922,0.00026664,0.00026664,0.00026664
2,517.227,1.1184,2.38255,1.37857,0.03858,0.05556,0.08021,0.02942,1.99117,16.351,2.54183,0.000539001,0.000539001,0.000539001
3,779.361,1.18871,2.13473,1.41732,0.05334,0.21852,0.03859,0.01427,1.95809,5.32194,2.53484,0.000805862,0.000805862,0.000805862
4,1041.15,1.29638,2.16729,1.51184,0.06167,0.25926,0.08922,0.02936,2.24302,15.4981,2.97935,0.00106722,0.00106722,0.00106722
5,1309.05,1.3348,1.95754,1.53109,0.11002,0.16852,0.06802,0.02459,2.34007,4.63194,3.11691,0.001067,0.001067,0.001067
6,1575.77,1.27827,1.91498,1.48848,0.23389,0.22593,0.1326,0.05908,2.22013,7.03006,3.24305,0.00105601,0.00105601,0.00105601
7,1842.77,1.27885,1.71809,1.47345,0.04697,0.20741,0.02889,0.0124,2.12055,6.90261,2.85117,0.00104501,0.00104501,0.00104501
8,2109.92,1.26271,1.70745,1.49013,0.18642,0.18889,0.1644,0.07062,2.0629,4.48877,2.60364,0.00103401,0.00103401,0.00103401
9,2376.98,1.3076,1.68543,1.46588,0.10095,0.13333,0.0811,0.03803,2.35918,4.49929,2.80173,0.00102301,0.00102301,0.00102301
10,2643.36,1.20474,1.5876,1.40482,0.1968,0.15185,0.17513,0.08748,2.27783,5.78543,2.77126,0.00101201,0.00101201,0.00101201
11,2909.44,1.15807,1.50401,1.37333,0.1801,0.5463,0.21255,0.08652,1.94811,3.3223,2.39275,0.00100101,0.00100101,0.00100101
12,3176.43,1.10029,1.4335,1.33584,0.10717,0.23704,0.15477,0.05811,1.77952,3.45321,2.05327,0.000990012,0.000990012,0.000990012
13,3441.94,1.13314,1.43695,1.36082,0.41632,0.22165,0.38461,0.22937,2.085,3.43887,2.6827,0.000979013,0.000979013,0.000979013
14,3708.92,1.10804,1.3039,1.33021,0.71011,0.3037,0.36041,0.14035,2.13638,3.4066,2.60055,0.000968014,0.000968014,0.000968014
15,3974.85,1.06931,1.43031,1.33757,0.55937,0.24444,0.23528,0.09068,2.12981,3.75825,2.66324,0.000957015,0.000957015,0.000957015
16,4239.83,1.03195,1.28399,1.27213,0.20661,0.35926,0.1916,0.08806,1.8912,3.81888,2.25563,0.000946016,0.000946016,0.000946016
17,4503.87,1.09814,1.28162,1.33852,0.18756,0.35926,0.21963,0.07937,2.34517,3.61132,2.90805,0.000935018,0.000935018,0.000935018
18,4768.94,1.01833,1.19262,1.26941,0.67728,0.35311,0.33323,0.13274,1.96423,3.52319,2.61891,0.000924019,0.000924019,0.000924019
19,5032.49,1.04207,1.2111,1.30965,0.75544,0.22593,0.24032,0.0807,2.31886,2.98898,2.88144,0.00091302,0.00091302,0.00091302
20,5296.26,1.02881,1.22784,1.27919,0.5164,0.27367,0.33824,0.16156,1.83608,3.04618,2.44382,0.000902021,0.000902021,0.000902021
21,5560.34,0.98765,1.15859,1.24462,0.39485,0.21852,0.28244,0.15214,1.89913,3.19056,2.49192,0.000891022,0.000891022,0.000891022
22,5824.07,0.93117,1.05919,1.2242,0.41293,0.3037,0.32639,0.14873,1.93871,3.43535,2.57671,0.000880023,0.000880023,0.000880023
23,6088.51,0.93055,1.04966,1.22604,0.23684,0.34074,0.24048,0.12961,2.2039,3.10979,2.87525,0.000869024,0.000869024,0.000869024
24,6352.26,0.89265,0.95759,1.1867,0.71724,0.27069,0.27508,0.15686,2.07315,3.2253,2.74971,0.000858025,0.000858025,0.000858025
25,6616.19,0.85015,0.91252,1.16883,0.22373,0.23704,0.23318,0.14655,1.84904,3.46996,2.37397,0.000847026,0.000847026,0.000847026
26,6879.78,0.87961,0.95855,1.18408,0.23035,0.37778,0.24714,0.1284,1.84471,2.9798,2.39903,0.000836027,0.000836027,0.000836027
